time;normal state;;;;classname;immunity
0:00;test_interior, t_smoke_int;;;;npc_civilian;0.5
1:00;test_interior, t_smoke_int;;;;;
2:00;test_interior, t_smoke_int;;;;;
3:00;test_interior, t_smoke_int;;;;;
4:00;test_interior, t_smoke_int;;;;;
5:00;test_interior, t_smoke_int;;;;;
6:00;test_interior, t_smoke_int;;;;;
7:00;test_interior, t_smoke_int;;;;;
8:00;test_interior, t_smoke_int;;;;;
9:00;test_interior, t_smoke_int;;;;;
10:00;test_interior, t_smoke_int;;;;;
11:00;test_interior, t_smoke_int;;;;;
12:00;test_interior, t_smoke_int;;;;;
13:00;test_interior, t_smoke_int;;;;;
14:00;test_interior, t_smoke_int;;;;;
15:00;test_interior, t_smoke_int;;;;;
16:00;test_interior, t_smoke_int;;;;;
17:00;test_interior, t_smoke_int;;;;;
18:00;test_interior, t_smoke_int;;;;;
19:00;test_interior, t_smoke_int;;;;;
20:00;test_interior, t_smoke_int;;;;;
21:00;test_interior, t_smoke_int;;;;;
22:00;test_interior, t_smoke_int;;;;;
23:00;test_interior, t_smoke_int;;;;;
